original_image, target, eps, generator_model, classifier_models
0.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
1.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
2.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
3.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
4.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
5.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
6.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
7.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
8.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
9.jpg," ""-1| 任意""",20," ""ResNet50""","[""ResNet18"", ""ResNet34"", ""ResNet50"", ""ResNet101"", ""ResNet152"", ""VGG11"", ""VGG13"", ""VGG16"", ""GoogLeNet"", ""MobileNet"", ""MobileNetV2""]"
